conversion_id,lead_id,campaign_id,revenue,conversion_date
1,67012,4383,631.66,2025-07-07
2,54266,1665,459.84,2025-11-28
3,49147,1501,681.19,2024-08-25
4,45134,950,1055.23,2026-05-14
5,3073,165,438.31,2025-04-28
6,89576,6841,438.31,2024-10-03
7,95603,8101,1085.29,2026-02-07
8,94080,4271,723.22,2025-10-03
9,38277,7125,389.66,2025-04-02
10,73288,7350,646.31,2024-12-13
11,64793,6542,390.84,2025-04-12
12,5366,1423,390.39,2024-10-04
13,31871,4050,556.12,2025-07-18
14,53996,2669,189.31,2024-11-11
15,99017,1947,208.0,2024-09-27
16,64934,982,371.99,2025-04-21
17,71615,2086,296.96,2025-05-05
18,97754,8676,576.59,2026-01-02
19,39734,614,312.93,2026-04-29
20,14699,9314,243.19,2026-04-09
21,9685,6607,1025.39,2025-06-22
22,52501,8586,440.15,2024-09-11
23,60036,383,509.67,2024-10-11
24,63337,823,241.68,2025-06-30
25,64069,3748,375.33,2026-06-08
26,9260,1128,520.85,2026-07-08
27,73386,129,277.13,2026-05-04
28,55421,2963,594.58,2026-03-02
29,69835,1176,364.92,2024-12-02
30,67198,2070,425.88,2025-03-20
31,24808,2796,364.73,2025-07-24
32,96761,7229,1244.06,2024-10-03
33,8026,6830,489.43,2025-05-25
34,81906,5884,290.37,2025-03-13
35,23170,3520,743.43,2025-10-17
36,82843,9237,267.62,2025-03-13
37,38533,2975,546.99,2026-05-31
38,58268,2224,184.96,2026-02-20
39,50514,8718,253.64,2024-12-15
40,4970,6823,543.72,2026-03-08
41,87162,1731,712.82,2025-03-15
42,23382,64,536.83,2026-03-07
43,67117,8374,465.06,2025-12-16
44,8397,1110,423.88,2025-06-01
45,87256,3981,235.27,2025-09-27
46,18021,1260,343.81,2026-01-08
47,31761,1976,391.38,2026-08-09
48,37827,9432,835.94,2025-05-01
49,97354,6060,585.12,2025-01-28
50,81676,7583,204.07,2026-02-09
51,72806,8676,579.43,2024-09-29
52,96412,5801,406.45,2026-05-11
53,45333,6959,351.26,2025-03-08
54,58716,7862,669.04,2026-07-08
55,86999,9675,825.1,2026-03-06
56,64552,3175,784.97,2025-10-25
57,19312,2213,323.89,2025-04-11
58,75403,7987,422.16,2025-12-17
59,97657,6356,581.51,2025-01-05
60,30203,2749,802.53,2026-08-18
61,91448,9927,387.77,2025-04-19
62,40925,8132,449.07,2024-10-13
63,97723,7850,283.39,2026-03-07
64,85198,2587,270.94,2026-02-12
65,20105,6941,739.71,2025-08-10
66,16963,4849,970.8,2026-05-04
67,98502,4731,475.32,2025-12-24
68,21849,2509,813.84,2025-04-29
69,73834,88,590.41,2024-10-11
70,48612,7948,356.89,2026-03-29
71,81303,2475,590.34,2026-04-12
72,70466,1104,1063.18,2025-12-12
73,72996,271,484.0,2024-10-24
74,9621,9264,1077.42,2026-05-01
75,29520,2095,150.0,2025-01-05
76,34344,6355,743.19,2025-07-31
77,39704,1069,514.67,2025-03-30
78,41598,8104,424.32,2024-12-27
79,13532,3461,515.88,2025-02-19
80,56793,5737,182.4,2025-10-01
81,54893,6655,441.49,2025-04-29
82,23877,9308,589.08,2026-07-08
83,29490,6695,1031.68,2025-01-05
84,56705,2846,380.26,2026-07-13
85,33378,4562,328.9,2024-12-19
86,22903,1643,383.42,2025-02-01
87,57486,8256,778.76,2026-02-03
88,82056,5881,580.78,2025-04-22
89,60586,3575,378.09,2025-10-05
90,23539,8311,636.91,2025-05-28
91,31285,7560,517.26,2025-06-22
92,85499,6454,799.77,2025-03-23
93,33448,9324,346.88,2024-11-27
94,28077,9503,418.29,2025-11-09
95,84431,9748,405.02,2026-01-19
96,17665,2833,237.04,2025-03-11
97,84189,4738,571.38,2025-07-22
98,99934,6434,561.45,2025-07-04
99,82466,1824,494.01,2024-12-06
100,7933,5218,438.21,2025-02-01
101,41712,1964,242.82,2026-02-04
102,13047,8352,399.29,2026-01-18
103,50353,2806,415.15,2024-12-10
104,11896,7279,329.92,2026-09-09
105,1760,2272,454.57,2025-06-17
106,88122,3575,603.07,2025-08-27
107,43339,903,1265.34,2025-06-30
108,70658,8046,537.69,2025-05-15
109,11345,5895,560.47,2025-09-16
110,24451,5921,474.74,2025-09-07
111,74305,2088,188.79,2024-12-01
112,83217,4730,486.26,2026-03-25
113,81798,8552,507.81,2026-02-04
114,18298,9685,1688.54,2025-12-28
115,3798,2083,447.56,2026-05-17
116,35575,2342,572.94,2024-10-28
117,9431,2295,484.27,2025-12-22
118,44773,7087,274.69,2025-01-25
119,65329,7104,872.54,2024-11-27
120,34812,9051,717.64,2026-02-10
121,89825,4714,731.81,2025-01-25
122,91653,7317,312.72,2025-08-12
123,48416,9721,993.66,2025-08-25
124,57439,7965,244.47,2025-09-19
125,98607,4731,660.79,2025-02-15
126,82252,168,1473.25,2024-11-13
127,84781,1698,300.28,2026-07-06
128,69622,1584,371.24,2026-02-24
129,37198,165,517.92,2026-07-25
130,40760,4980,383.09,2025-12-20
131,35564,5754,226.94,2026-06-07
132,58881,9087,509.93,2025-08-09
133,35484,2426,289.7,2025-05-23
134,17330,6578,624.4,2026-04-02
135,86470,4852,311.15,2026-03-13
136,26172,9300,1069.52,2025-01-02
137,15218,9861,333.08,2025-09-29
138,69786,5390,419.46,2026-08-04
139,35995,1623,740.08,2024-12-11
140,21704,6544,266.29,2025-04-29
141,97957,7851,552.1,2024-12-02
142,98949,3111,947.26,2025-07-02
143,29568,7862,220.58,2025-05-26
144,84300,7456,540.4,2025-03-26
145,56130,8253,561.12,2026-05-24
146,30556,232,728.44,2025-03-19
147,94339,3207,265.48,2025-07-23
148,56226,3760,254.62,2025-07-21
149,14456,5796,639.68,2025-03-17
150,18,8752,571.63,2024-09-23
151,21188,9470,558.5,2025-06-18
152,70708,533,585.94,2025-04-10
153,803,9955,350.72,2025-06-26
154,29865,2898,553.43,2024-11-14
155,55883,1796,570.51,2024-10-01
156,60436,40,344.75,2025-05-26
157,47702,241,1252.49,2026-09-01
158,98978,9189,624.48,2024-12-03
159,81062,1581,271.6,2025-11-22
160,2761,8152,684.22,2025-06-30
161,54232,2326,302.67,2024-11-05
162,13774,6624,730.36,2025-08-14
163,70091,119,879.45,2025-06-05
164,81996,3551,326.9,2025-10-12
165,59500,5488,797.66,2025-06-23
166,77446,6320,605.7,2025-09-18
167,8579,9447,743.25,2025-11-05
168,93900,5044,1272.06,2025-06-27
169,23271,1109,435.85,2025-04-28
170,93307,7302,338.03,2025-01-04
171,28918,3704,315.84,2026-02-21
172,94111,3908,327.7,2025-06-03
173,6817,1372,474.11,2025-01-03
174,70768,4196,584.39,2026-03-18
175,38427,8722,565.86,2025-06-26
176,78856,4462,745.15,2024-09-18
177,87895,9883,495.96,2025-02-24
178,35454,1925,1019.19,2026-09-08
179,40651,8964,431.67,2026-07-31
180,8498,1447,1920.01,2025-10-09
181,99928,1852,673.73,2026-07-30
182,11002,3929,320.99,2025-04-11
183,47065,5529,288.46,2025-11-04
184,64618,7529,627.18,2025-01-07
185,671,3940,440.66,2025-01-20
186,13651,6232,704.16,2026-03-10
187,28644,8525,624.29,2026-02-28
188,39973,4294,475.13,2025-09-05
189,9871,8214,322.66,2026-08-12
190,21408,2521,231.04,2025-09-23
191,31060,494,394.15,2026-02-25
192,78190,2002,756.12,2025-04-20
193,60405,7881,548.42,2026-06-04
194,89778,406,264.31,2025-12-07
195,36297,2540,537.32,2025-12-18
196,19332,4268,597.44,2024-11-13
197,13023,830,316.74,2026-05-21
198,16545,4438,532.12,2024-09-25
199,83916,2997,507.3,2025-10-20
200,80283,3886,278.25,2025-09-20
201,45433,4771,589.28,2026-08-20
202,16214,7946,652.23,2025-06-02
203,21682,796,846.85,2025-07-08
204,20312,2529,834.56,2025-12-29
205,32853,7202,247.44,2026-01-16
206,97473,7799,308.3,2025-03-22
207,50352,5579,637.48,2025-09-19
208,24616,7094,637.08,2025-03-21
209,90275,1960,637.48,2024-09-10
210,39039,1081,3382.48,2026-08-29
211,52476,6215,655.53,2024-10-08
212,73639,8210,869.38,2025-08-24
213,52024,5867,793.93,2026-01-23
214,33289,3380,682.45,2026-02-04
215,2803,9477,420.89,2025-05-21
216,4654,3169,720.17,2025-11-17
217,7620,9631,334.82,2025-03-30
218,47376,8345,437.72,2025-03-14
219,53809,4166,386.57,2025-08-08
220,31893,3290,513.34,2026-03-26
221,11736,2081,1567.64,2025-05-22
222,37309,4734,193.71,2026-03-04
223,73330,8098,694.46,2026-07-09
224,53998,1235,220.0,2026-04-13
225,14862,381,389.18,2026-05-13
226,2245,547,849.35,2026-05-06
227,60888,1860,508.84,2026-06-30
228,82908,1605,287.47,2026-07-25
229,45852,8271,344.59,2025-03-14
230,79291,1161,692.15,2025-09-15
231,91614,5641,342.0,2025-06-28
232,196,232,549.07,2026-07-28
233,64332,9219,504.11,2024-12-30
234,78982,9890,355.74,2024-11-04
235,80425,7359,1439.39,2025-05-13
236,40658,281,676.52,2025-10-15
237,57075,1680,179.01,2026-04-19
238,5146,6114,540.9,2026-03-23
239,8066,2159,353.93,2025-12-14
240,18850,4018,754.62,2025-05-15
241,44983,5693,331.54,2024-12-04
242,19952,5051,465.28,2025-11-23
243,10224,770,634.28,2025-08-08
244,39183,4601,759.67,2025-02-02
245,33168,8037,270.39,2024-11-19
246,96896,8124,416.86,2025-05-30
247,92116,5102,388.59,2024-08-30
248,93185,1013,355.43,2025-05-03
249,84719,673,1191.21,2025-02-21
250,42718,2357,603.35,2026-08-18
251,98987,7831,262.32,2026-08-19
252,31538,3487,779.72,2025-08-07
253,40043,3007,1423.79,2025-11-17
254,37885,7616,825.7,2025-12-17
255,50196,4985,230.51,2025-06-04
256,93429,6166,386.79,2025-08-10
257,53778,3864,928.39,2025-08-25
258,27566,7269,345.91,2026-03-03
259,73293,4991,615.18,2025-08-20
260,26931,3557,725.83,2026-02-15
261,62039,5711,309.99,2026-05-08
