email_id,campaign_id,emails_sent,emails_opened,emails_clicked,unsubscribes
1,1,42905,7868,1852,477
2,2,10144,3762,824,276
3,3,6697,2190,126,49
4,4,16247,4900,277,161
5,5,43590,15709,2433,707
6,6,19231,7554,389,483
7,7,46753,12940,1545,485
8,8,23059,4165,603,322
9,9,23541,7794,1962,547
10,10,36142,6774,1900,251
11,11,20213,8061,1649,536
12,12,38837,8065,543,836
13,13,19965,8895,2346,532
14,14,25911,6047,1263,365
15,15,25260,6481,1409,569
16,16,45796,15772,3190,424
17,17,48784,10900,1804,573
18,18,42943,15306,1605,562
19,19,4665,1020,59,60
20,20,18546,3150,876,355
21,21,48049,11743,2511,715
22,22,43129,12406,1441,481
23,23,37789,11778,2788,593
24,24,39242,10588,1109,1174
25,25,34392,10250,2449,912
26,26,11016,3725,923,171
27,27,5163,1370,272,86
28,28,17476,7712,2045,92
29,29,48233,8892,2411,1146
30,30,43006,10839,1337,385
31,31,1212,528,142,14
32,32,33806,12798,2264,258
33,33,41979,10055,2108,848
34,34,11016,2888,261,317
35,35,35757,15216,3039,615
36,36,8331,3571,963,214
37,37,21153,4692,517,405
38,38,6161,1082,185,41
39,39,35911,13637,1119,606
40,40,37031,7389,1344,746
41,41,14880,6378,1523,331
42,42,47723,11621,3472,1013
43,43,29711,12475,2031,332
44,44,5196,1306,257,55
45,45,15432,2348,532,99
46,46,5417,2283,604,36
47,47,16597,3876,664,306
48,48,48405,20845,4018,814
49,49,31996,12550,1224,237
50,50,29249,7496,1145,777
51,51,4550,1601,473,33
52,52,27386,10090,2523,211
53,53,13556,2806,455,210
54,54,19254,5560,1493,132
55,55,37066,6648,1416,686
56,56,1967,866,243,51
57,57,11899,3235,551,316
58,58,4842,965,48,71
59,59,30819,7260,1627,716
60,60,37422,13043,2239,364
61,61,15267,6726,1310,283
62,62,21552,3602,706,378
63,63,35807,7062,2049,250
64,64,13178,2247,150,349
65,65,27461,5106,1391,306
66,66,39962,6470,456,856
67,67,38042,11672,3311,384
68,68,47936,11708,1362,396
69,69,43303,10392,1341,1030
70,70,5754,879,180,109
71,71,7552,1298,134,87
72,72,23872,9889,2668,339
73,73,11338,3191,592,142
74,74,43858,13538,2937,827
75,75,44475,8053,2170,516
76,76,8014,2987,265,96
77,77,14803,5407,545,308
78,78,18300,5519,622,506
79,79,4329,769,119,51
80,80,1232,308,25,36
81,81,11589,4315,810,181
82,82,1633,299,85,36
83,83,10768,3377,873,210
84,84,10705,2986,180,151
85,85,3614,1516,155,40
86,86,7736,1981,376,207
87,87,41675,15621,4396,455
88,88,11649,5158,1303,314
89,89,2624,534,150,64
90,90,27982,10931,2907,707
91,91,18485,3655,823,269
92,92,3537,1441,152,89
93,93,31166,7944,2026,834
94,94,15609,2452,240,206
95,95,5549,2441,292,116
96,96,27193,9622,2510,361
97,97,2808,518,151,26
98,98,18397,2970,591,250
99,99,21557,6055,1792,170
100,100,38787,8029,490,616
101,101,35073,14999,2769,806
102,102,49624,18416,1827,783
103,103,44531,18980,3905,961
104,104,9167,3354,419,116
105,105,27764,6881,1543,523
106,106,13572,3747,1068,297
107,107,12405,4151,519,231
108,108,1026,247,25,25
109,109,40758,14119,2347,654
110,110,15005,4551,1130,435
